ZCTA5CE20,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,Total
78620," $1,280.00 ", $-   ," $18,150.00 "," $2,181.00 "," $2,116.50 "," 23,727.50 "
78624, $130.00 , $90.00 , $-   , $-   , $-   , 220.00 
78640," $2,706.00 ", $-   , $-   , $-   , $-   ," 2,706.00 "
78654, $858.88 , $-   , $-   , $-   , $-   , 858.88 
78660, $679.62 , $-   , $-   , $-   , $-   , 679.62 
78666, $140.00 , $-   , $-   , $-   ," $9,980.00 "," 10,120.00 "
78703, $-   , $-   , $-   ," $1,200.00 ", $-   ," 1,200.00 "
78705, $140.00 , $-   , $-   , $-   , $-   , 140.00 
78713, $-   , $-   , $-   , $-   , $399.20 , 399.20 
78714, $625.27 ," $1,105.23 "," $8,357.02 "," $28,418.46 "," $38,275.79 "," 76,781.77 "
78722, $-   , $-   , $-   , $-   ," $1,000.00 "," 1,000.00 "
78727, $50.00 , $-   , $-   , $-   ," $6,000.00 "," 6,050.00 "
78731, $-   , $-   , $500.00 , $-   , $-   , 500.00 
78736, $-   , $-   , $-   ," $1,000.00 ", $-   ," 1,000.00 "
78741," $1,500.00 ", $-   , $-   ," $1,800.00 ", $-   ," 3,300.00 "
78744, $450.00 , $-   , $-   , $-   ," $2,749.48 "," 3,199.48 "
78745, $-   , $-   , $-   , $201.25 ," $2,550.43 "," 2,751.68 "
78746, $50.00 , $-   , $-   , $-   , $-   , 50.00 
78756, $-   , $250.00 , $-   , $-   , $-   , 250.00 
78765, $100.00 , $-   , $100.00 , $-   ," $1,000.00 "," 1,200.00 "
78840, $-   , $-   , $-   , $-   ," $1,000.00 "," 1,000.00 "
80204, $-   , $-   , $-   ," $11,120.00 ", $-   ," 11,120.00 "
80217," $2,264.28 "," $3,040.40 ", $140.60 , $-   , $-   ," 5,445.28 "
84037, $986.40 , $-   , $-   , $-   , $-   , 986.40 
84047, $-   , $100.00 , $-   , $-   , $-   , 100.00 
85018, $500.00 , $-   , $-   , $-   , $-   , 500.00 
85062," $9,559.37 "," $7,025.25 ", $-   ," $12,846.26 "," $17,299.58 "," 46,730.46 "
85641, $-   , $-   ," $1,015.50 ", $-   , $-   ," 1,015.50 "
85706, $-   , $-   , $-   , $-   , $600.00 , 600.00 
85716, $-   , $-   , $-   , $-   , $600.00 , 600.00 
85745, $-   , $-   , $-   , $200.00 , $-   , 200.00 
85749, $-   , $-   ," $5,105.14 "," $5,471.24 "," $4,790.43 "," 15,366.81 "
86304, $-   , $-   , $-   , $289.80 , $359.88 , 649.68 
90008, $-   , $-   , $-   , $-   , $600.00 , 600.00 
90025, $200.00 , $-   , $-   , $400.00 , $-   , 600.00 
90065, $600.00 , $-   ," $1,300.00 ", $-   , $-   ," 1,900.00 "
90074," $2,082.33 ", $208.46 , $-   , $203.54 , $632.23 ," 3,126.56 "
90502, $-   , $-   , $-   , $-   , $200.00 , 200.00 
91042, $-   , $-   , $500.00 , $-   , $-   , 500.00 
91105," $1,100.00 ", $-   , $-   , $-   , $-   ," 1,100.00 "
91301, $-   , $-   , $-   ," $2,010.64 ", $-   ," 2,010.64 "
91367," $1,300.00 ", $-   , $900.00 ," $1,900.00 "," $1,850.00 "," 5,950.00 "
91716, $-   , $375.97 ," $2,216.12 "," $2,529.05 "," $8,156.79 "," 13,277.93 "
91754, $-   , $-   , $-   , $-   , $600.00 , 600.00 
92373, $-   , $-   , $-   , $-   ," $2,142.97 "," 2,142.97 "
92509," $6,865.00 ", $-   , $-   , $-   , $885.00 ," 7,750.00 "
92557, $-   , $-   , $-   , $-   ," $4,000.00 "," 4,000.00 "
92571, $-   , $-   , $-   , $-   ," $1,500.00 "," 1,500.00 "
93274," $3,600.00 ", $-   , $-   , $-   , $-   ," 3,600.00 "
94530, $390.00 , $-   , $-   , $275.00 , $-   , 665.00 
95695, $-   , $-   , $-   , $-   , $189.00 , 189.00 
97008, $-   , $209.59 ," $1,156.28 ", $128.83 , $539.39 ," 2,034.09 "
98108," $1,825.45 "," $1,532.52 "," $7,435.68 "," $11,736.79 "," $7,313.19 "," 29,843.63 "
,,,,,,
,,,,,,
